name,description
Climatise Air,"



		Product details
		



L'Oreal Elvive Clay Oily Roots Shampoo 400ml

The Science of Oily Roots and Dry Ends.

Oil produced from the scalp can build up causing the roots to become visibly greasy, weighing down the hair. Over-washing to combat this problem can strip the fiber leaving it dry. This results in a vicious cycle of washing. What if you could have hair that was cared for at both ends?

The Secret of Clay for 72 Hours of Pure Roots and Hydrated Ends.

For the first time, L'Oréal Paris Laboratories have combined 3 Refined Clays to create its first re-balancing range revealing perfectly balanced, beautiful hair.
 

Scalp feels deeply purified for 72 hours with freshness and light, lifted root.
Dry hair feels hydrated right to the ends for fluid, free-flowing lengths.
Revitalises the hair with softness, shine and bounce.    
A delicate Clay texture for hair purity, hydration and beauty.


	 

Proven Results:

Visibly clears dandruff for intensely purified roots, hydrated feeling ends.Perfectly balanced, beautiful hair.




Hazards and Cautions
In case of contact with eyes, rinse immediately.


Ingredients
1170811 A Aqua / Water Sodium Laureth Sulfate Coco-Betaine Glycol Distearate Sodium Chloride CI 42090 / Blue 1 Guar Hydroxypropyltrimonium Chloride Sodium Benzoate Sodium Hyaluronate Sodium Hydroxide PPG-5-Ceteth-20, Argilla / Magnesium Aluminum Silicate Salicylic Acid Fumaric Acid Linalool Benzyl Alcohol Benzyl Salicylate Montmorillonite Kaolin Alpha-Isomethyl Ionone Carbomer Geraniol Octyldodecanol Citronellol Citric Acid Hexyl Cinnamal Parfum / Fragrance F.I.L. C179833/1 Please check back of pack for up to date ingredients




...read more
...read less

"
Climatise Jungle,"



		Product details
		



There’s something about strong, full-looking hair that lets you take on the day with confidence. You can now get that style without having to go to a salon with Tresemme Beauty-Full Strength Shampoo, designed to leave your hair looking fuller and feeling fortified. Featuring ProPlex Fortifiant, this professional-quality shampoo for damaged hair penetrates inside the hair fibre to reinforce its structure from within, resulting in up to 99% less hair on your brush. What’s more, its fortifying formula uses our PRO Style Technology with amino acids and ceramides to leave your hair strong and manageable with continuous use. For naturally fuller-looking hair that feels reinforced, start your routine by applying a generous amount of Tresemme Beauty-Full Strength Shampoo to wet hair. Gently massage the scalp with your fingertips to work into a lather, then rinse thoroughly. Follow with Beauty-Full Strength Conditioner and style with your favourite Tresemme styling products as needed. At Tresemme, we’ve always understood that style is more than a look: it’s a part of you. With our professional-quality care, a world of style possibilities is yours to achieve. Every choice we make at Tresemme, from the values we promote – such as not testing on animals and being PETA approved – to the stylists we work with, down to the carefully selected ingredients we use, are made with intention and inspired by the latest trends and style. Because 70 years on, we believe in the power of style. So tell your story, land that job, make your mark – and achieve your aspirations with confidence. With Tresemme, your style can match your ambition.

Key features:

• Tresemme Beauty-Full Strength Shampoo gives you naturally fuller-looking hair that feels reinforced
• Our fortifying shampoo features PRO Style Technology which works from the inside out to leave hair strong and manageable with continued use
• Formulated with ProPlex Fortifiant, this shampoo for damaged hair strengthens and reinforces hair fibres for up to 99% less hair on your brush
• Our hair care experts are at the forefront of science and safety – every ingredient is carefully selected to ensure your hair receives the best possible care
• Apply Beauty-Full Strength Shampoo from roots to ends, lather gently while massaging into the scalp before rinsing thoroughly and following with Beauty-Full Strength Conditioner to maximise results
• With Tresemme professional hair care products, you can create your personal style to achieve your aspirations with confidence




Ingredients
Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Parfum, Sodium Benzoate, Glycerin, Gluconolactone, Citric Acid, Sodium Sulfate, Trehalose, Disodium EDTA, Polyquaternium-10, Arginine, Lysine HCl, Ceramide NG, PPG-6, Sodium Hydroxide, Benzyl Alcohol, Benzyl Salicylate, Hexyl Cinnamal, Limonene, Linalool.




...read more
...read less

"
Climatise Meadow,"



		Product details
		



Aveeno® Skin Relief Soothing Shampoo 300mlAVEENO® Skin Relief Soothing Shampoo with Colloidal Oatmeal protects the skin’s natural balance for a comfortable scalp. Its mild formula gently cleanses the hair and relieves itchy sensations related to a very dry and sensitive scalp. Hair is left looking soft and beautifully shiny. Ideal for frequent use, even on thin and fragile hair.Key FeaturesRelieves Very Dry and Sensitive ScalpsGently cleanses the hair and relieves itchy sensations related to a dry scalpFormulated with Colloidal OatmealSoap-free.High tolerance formula*. Suitable for sensitive scalpAvailable in one size: 300ml*Formulated to minimise risk of allergies




How to use
For best results, apply to wet hair, massage and leave in for several minutes before rinsing thoroughly. Repeat if necessary. Complete your routine with AVEENO® Skin Relief Moisturising Lotion to relieve very dry irritable skin.



Ingredients
[PR-016390], Aqua, Ammonium Lauryl Sulfate, Glycerin, Cocamidopropyl Betaine, Sodium Chloride, Avena Sativa Kernel Flour, Melissa Officinalis Leaf Extract, Allantoin, Bis (C13-15 Alkoxy) PG-Amodimethicone, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Ethylhexylglycerin, C14-15 Alcohols, Cocamide MEA, Isotridecyl Alcohol, Propylene Glycol, Sorbitol, Acrylates Copolymer, Polyquaternium-39, Citric Acid, Sodium Hydroxide, Phenoxyethanol, Sodium Benzoate, Parfu
Product and ingredients may change. Always check the label before purchasing and using this product.




...read more
...read less

"
Climatise Wild,"



		Product details
		



There’s something about sleek, frizz-free hair that lets you take on the day with confidence. You can now get that style without having to go to a salon with Tresemme Keratin Smooth Shampoo. Featuring hydrolysed keratin, this moisturising shampoo restores smoothness and shine to frizzy hair, offering up to 72 hours of frizz control. Its professional-quality formula uses our PRO Style Technology with amino acids and ceramides to leave your hair strong and manageable with continuous use. For luxuriously smooth and sleek hair with a healthy-looking shine, start your routine by applying a generous amount of Tresemme Keratin Smooth Shampoo to wet hair. Gently massage the scalp with your fingertips to work into a lather, then rinse thoroughly.
 
Follow with our Keratin Smooth Conditioner and style with your favourite Tresemme styling products as needed. At Tresemme, we’ve always understood that style is more than a look: it’s a part of you. With our professional-quality hair care, a world of style possibilities is yours to achieve. Every choice we make at Tresemme, from the values we promote – such as not testing on animals and being PETA approved – to the stylists we work with, right down to the carefully selected ingredients we use, are made with intention and inspired by the latest trends and style. Because 70 years on, we believe in the power of style. So tell your story, land that job, make your mark – and achieve your aspirations with confidence. With Tresemme, your style can match your ambition.

 
Key features:

• Transform frizzy hair into luxuriously smooth and sleek tresses with Tresemme Keratin Smooth Shampoo
• This professional-quality shampoo features PRO Style Technology which works from the inside out to leave hair strong and manageable with continued use
• Formulated with hydrolysed keratin, our moisturising shampoo provides smoothness, shine and up to 72 hours of frizz control
• Our hair care experts are at the forefront of science and safety – every ingredient is carefully selected to ensure your hair receives the best possible care
• Apply our Keratin Smooth Shampoo from roots to ends, lather gently while massaging into the scalp before rinsing thoroughly and following with Keratin Smooth Conditioner to maximise results
• With Tresemme professional hair care products, you can create your personal style to achieve your aspirations with confidence




Ingredients
Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycerin, Sodium Chloride, Dimethiconol, Parfum, Sodium Benzoate, Glycol Distearate, Citric Acid, Carbomer, Guar Hydroxypropyltrimonium Chloride, TEA-Dodecylbenzenesulfonate, TEA-Sulfate, Disodium EDTA, Cocamide MEA, PEG-45M, Phenoxyethanol, Lysine HCl, Arginine, Ceramide NG, Hydrolyzed Keratin, PPG-6, Sodium Hydroxide, Mica, Benzyl Alcohol, Geraniol, Hexyl Cinnamal, Limonene, Linalool, CI 77891.




...read more
...read less

"
Craft Style Anti-Dandruff,"



		Product details
		



Say g'day to curls as bouncy as a kangaroo and waves as soft as a wallaby! Aussie Bouncy Curls Hydrating Shampoo is infused with Jojoba Oil, Coconut Oil & Macadamia Nut Oil. It has a gently cleansing and moisturising formula that will leave your wavy and curly hair extra-hydrated, refreshed and bouncier than a kangaroo. This curl-loving shampoo is designed for 2B-3B curly hair, is free from SLS and silicones, and is also vegan (no animal-derived ingredients or by-products). It comes in a recyclable plastic bottle, made of 100% recycled plastic. Start your curly hair routine the right way with Aussie Bouncy Curls shampoo: 1. Wet your curl-blessed tresses under a shower 2. Gently massage Aussie Bouncy Curls Shampoo through root to tip 3. Rinse off throughly and pat dry with a towel, or repeat for extra bounce 4. Follow with Aussie Bouncy Curls curl treatments for extra moisture and definition
 
•QUENCH YOUR CURLY HAIR'S THIRST: Gentle and extra-hydrating shampoo for dry wavy and curly hair
•BONZA GOODNESS FOR DRY CURLY HAIR: Infused with a blend of Jojoba Oil, Coconut Oil & Australian Macadamia Nut Oil
•CRUELTY-FREE, VEGAN AND SILICONE FREE FORMULA:  no animal-derived ingredients or by-products;  free from SLS and silicones
•YOUR AUSSOME CURLY HAIR ROUTINE: For best results (yes you guessed it) use it with Aussie Bouncy Curls conditioning treatments and follow with Aussie Bouncy Curls curl defining cream for extra definition
•ICONIC AUSSIE SCENTS:  Sweet, yummy scents for hair that smells divine
•RECYCLED BOTTLE: Recyclable bottle made from 100% recycled plastic (excluding dyes)
•THE AUSSIE WAY TO USE: wet your hair, gently massage through the scalp, rinse off and repeat for extra bounce




How to use
Wet your hair, gently massage through the scalp, rinse off and repeat for extra bounce.



Important info
Country of origin: France



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Citrate, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Stearyl Alcohol, Sodium Chloride, Cetyl Alcohol, Parfum, Citric Acid, Sodium Benzoate, Sodium Salicylate, Guar Hydroxypropyltrimonium Chloride, Polyquaternium-6, Sodium Hydroxide, Trihydroxystearin, Polyquaternium-10, Tetrasodium EDTA, Limonene, Benzyl Salicylate, Hexyl Cinnamal, Benzyl Alcohol, Linalool, Coumarin, Macadamia Ternifolia Seed Oil, Simmondsia Chinensis Seed Oil, Cocos Nucifera Oil, Sodium Acetate




...read more
...read less

"
Craft Style Nourish,"



		Product details
		



NIOXIN 3-part System 4 Loyalty Kit for Coloured Hair with Progressed ThinningAchieve thicker, fuller-looking hair and restore moisture balance with Nioxin’s 3-part System 4 for Coloured Hair with Progressed Thinning. This unique set of 3 thinning hair products helps strengthen hair resilience against cuticle damage, reduces hair fall due to breakage and delivers denser-looking hair. This professional thickening Nioxin treatment cleanses, optimises and treats coloured hair, leaving it moisturised and vibrant. Nioxin Cleanser Shampoo 4 (300ml): removes sebum and environmental residues from the scalp and hair. Nioxin Scalp Therapy Revitalising Conditioner 4 (300ml): a lightweight conditioner that helps provide hair resilience and control moisture balance. Nioxin Scalp & Hair Treatment 4 (100ml): helps prevent  hair loss due to breakage, providing a refreshed scalp environment.




How to use
Cleanser: Gently massage a small amount into hair and scalp. Rinse well.
Scalp Therapy Revitalising Conditioner: Apply to scalp and through to mid-lengths and ends. Leave-in for 1 to 3 minutes. Rinse. Scalp & Hair Treatment: Shake well. Apply 5 - 10 pumps evenly to entire scalp and massage. Do not rinse.  We recommend using your 3-Step System a minimum of 3 times a week, for optimal results use daily.


Hazards and Cautions
Treatment CAUTION: May cause temporary redness.


Ingredients
Shampoo:
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Citric Acid, Sodium Chloride, PPG-2 Hydroxyethyl Coco/Isostearamide, Sodium Citrate, Sodium Xylenesulfonate, Sodium Benzoate, Salicylic Acid, Sodium Hydroxide, Tetrasodium EDTA, Mentha Piperita Oil, Mentha Arvensis Leaf Oil, Menthol, Trisodium Ethylenediamine Disuccinate, Methylparaben, Polyquaternium-10, Propylene Glycol, Camellia Sinensis Leaf Extract, Cystine Bis-PG-Propyl Silanetriol, Biotin, Lecithin, Niacinamide, Panthenol, Tocopheryl Acetate, Foeniculum Vulgare Fruit Extract, Sodium Acetate, Isopropyl Alcohol, CI 19140, Faex Extract, Acer Saccharum Extract, Citrus Limon Peel Extract, Saccharum Officinarum Extract, Vaccinium Myrtillus Leaf Extract, CI 42090, Citrus Aurantium Dulcis Fruit Extract, CI 17200, Potassium Sorbate

Conditioner:
Aqua/Water/Eau, Cetyl Alcohol, Stearamidopropyl Dimethylamine, Stearyl Alcohol, Quaternium-18, Phenoxyethanol, Benzyl Alcohol, Cetearyl Alcohol, Hydroxypropyl Guar, Glyceryl Stearate, Oleyl Alcohol, Propylparaben, Polysorbate 60, Mentha Piperita (Peppermint) Oil, Mentha Arvensis Leaf Oil, Menthol, Propylene Glycol, Methylparaben, EDTA, Hydroxyethylcellulose, Citric Acid, Camellia Sinensis Leaf Extract, Quaternium-80, Cystine Bis-PG-Propyl Silanetriol, Biotin, Lecithin, Niacinamide, Panthenol, Tocopheryl Acetate, Foeniculum Vulgare (Fennel) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Citrus Limon (Lemon) Peel Extract, Saccharum Officinarum/Sugar Cane Extract/Extrait de canne à sucre, Vaccinium Myrtillus Leaf Extract, Faex Extract/Yeast Extract/Extrait de levure, Citrus Aurantium Dulcis (Orange) Fruit Extract, Maltodextrin, Blue 1 (CI 42090), Potassium Sorbate, Sodium Benzoate, Ethylparaben, Butylparaben

Treament:
Aqua, Phenylbenzimidazole Sulfonic Acid, Niacinamide, Benzophenone-4, Caffeine, Polysorbate 20, Sodium Hydroxide, Benzyl Alcohol, Sodium Benzoate, Phenoxyethanol, PEG-12 Dimethicone, Citric Acid, Cocamidopropyl Betaine, Acetamide MEA, Isopropyl C12-15-Pareth-9 Carboxylate, Tetrasodium EDTA, Propylene Glycol, Methyl Nicotinate, Sodium Chloride, Parfum, Polysorbate 60, Polysorbate 80, Mentha Piperita Oil, Mentha Arvensis Leaf Oil, Menthol, PEG-23M, Camellia Sinensis Leaf Extract, Limonene, Cystine Bis-PG-Propyl Silanetriol, Biotin, Lecithin, Tocopheryl Acetate, Foeniculum Vulgare Fruit Extract, Silica, Faex Extract, Acer Saccharum Extract, Citrus Limon Peel Extract, Saccharum Officinarum Extract, Vaccinium Myrtillus Leaf Extract, Citrus Aurantium Dulcis Fruit Extract, Potassium Sorbate



...read more
...read less

"
Craft Style Protect,"



		Product details
		



Alpecin Caffeine Shampoo 375ml Alpecin Caffeine shampoo is now available in a bigger bottle! Using Alpecin Caffeine shampoo daily provides the hair roots with the active ingredient. It is recommended to leave the shampoo on the hair for at least two minutes so that all the caffeine can be absorbed into the scalp. The longer it is left the more caffeine can be absorbed. Men’s skin is more sensitive than women’s skin. This is due to the male hormone testosterone – it makes men’s skin less robust and weakens its natural protective function significantly.




How to use
Application: Massage into the hair roots and leave on the hair for two minutes before rinsing out.Use daily.


Important info
Key Product Benefits:German engineering for your hair.Energizes the hair at the roots.


Ingredients
Aqua, Sodium Laureth Sulfate, Laureth-2, Disodium Laureth Sulfosuccinate, Sodium Lauroyl Glutamate, Sodium Chloride, Caffeine, Panthenol, Parfum, PEG-120, Methyl Glucose Dioleate, Hydrolyzed Wheat Protein, Citric Acid, Sodium Citrate, Menthol, PEG-40 Hydrogenated Castor Oil, Potassium Sorbate, Polyquaternium-7, Disodium EDTA, Sodium Benzoate, Zinc PCA, Niacinamide, Limonene, Tocopherol, Phenoxyethanol, Methylparaben, Propylparaben, CI 42090, CI 60730.



...read more
...read less

"
Craft Style Re-Mould,"



		Product details
		



Is your hair flat, fine or limp? Batiste breakthrough formula will instantly refresh your hair and add volume, body and texture. Hair will be revitalised and left feeling clean bouncy and full of life. What more could you want from a dry shampoo?The perfect quick fix for great looking hair between washes – shake well, hold can 30cm away from head and spray at roots; give it a quick massage and brush through to refresh and volumise. No water required!                  




How to use
How to use
1 Shake well. Hold can at arm's length
2 massage in to roots
3 Brush through to refresh and protect



Hazards and Cautions
DANGER: Extremely flammable aerosol. Keep away from heat/sparks/open flames/hot surfaces – No smoking. Do not spray on open flame or other ignition sources. Pressurised container. May burst if heated. Do not pierce or burn, even after use. Do not expose to temperatures exceeding 50°C / 122°F. Intentional misuse by deliberately concentrating or inhaling the contents can be harmful or fatal. Do not apply to broken or irritated skin. Not for intimate hygiene use. Avoid spraying in eyes. Discontinue use if skin / scalp irritation occurs. Seek medical attention if irritation persists. KEEP OUT OF REACH OF CHILDREN.



Ingredients
Butane, Isobutane, Propane, Alcohol Denat., Oryza Sativa (Rice) Starch, Parfum, Talc, Silica, Distearyldimonium Chloride, Cocoyl Hydrolyzed Keratin, Hydrolyzed Collagen, Cetrimonium Chloride, Alpha – Isomethyl Ionone, Citronellol, Hexyl Cinnamal, Linalool




...read more
...read less

"
Craft Style Sculpt,"



		Product details
		



NIOXIN 3-part System 2 Loyalty Kit for Natural Hair with Progressed ThinningGet denser-looking hair with the innovative Nioxin 3-part System 2 for Natural Hair with Progressed Thinning. This professional set of 3 hair care products helps clean, optimise and treat the hair and scalp. Nioxin’s 3-part System 2 strengthens resilience against damage and breakage, leaving thicker, fuller-looking hair with a healthy shine. Nioxin Cleanser Shampoo 2 (300ml): removes sebum and environmental residues from the scalp and hair. Nioxin Scalp Therapy Revitalising Conditioner 2 (300ml): a lightweight conditioner that helps provide hair resilience and control moisture balance. Nioxin Scalp & Hair Treatment 2 (100ml): provides a refreshed scalp environment.




How to use
Cleanser: Gently massage a small amount into hair and scalp. Rinse well.
Scalp Therapy Revitalising Conditioner: Apply to scalp and through to mid-lengths and ends. Leave-in for 1 to 3 minutes. Rinse. Scalp & Hair Treatment: Shake well. Apply 5 - 10 pumps evenly to entire scalp and massage. Do not rinse.We recommend using your 3-Step System a minimum of 3 times a week, for optimal results use daily.


Hazards and Cautions
Treatment CAUTION: May cause temporary redness.


Ingredients
Shampoo: 
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Sodium Citrate, Sodium Xylenesulfonate, Sodium Chloride, Cocamide MEA, Sodium Benzoate, Citric Acid, Salicylic Acid, Mentha Piperita Oil, Mentha Arvensis Leaf Oil, Menthol, Tetrasodium EDTA, Sodium Hydroxide, Methylparaben, Propylene Glycol, Camellia Sinensis Leaf Extract, Cystine Bis-PG-Propyl Silanetriol, Biotin, Lecithin, Niacinamide, Panthenol, Tocopheryl Acetate, Citrus Paradisi Peel Extract, Humulus Lupulus Flower Extract, Urtica Dioica Leaf Extract, CI 19140, Faex Extract, Acer Saccharum Extract, Citrus Limon Peel Extract, Saccharum Officinarum Extract, Vaccinium Myrtillus Leaf Extract, CI 42090, Citrus Aurantium Dulcis Fruit Extract, CI 17200, Potassium Sorbate

Conditioner: 
Aqua/Water/Eau, Cetyl Alcohol, Stearamidopropyl Dimethylamine, Stearyl Alcohol, Quaternium-18, Phenoxyethanol, Benzyl Alcohol, Cetearyl Alcohol, Hydroxypropyl Guar, Glyceryl Stearate, Hydroxyethylcellulose, Oleyl Alcohol, Methylparaben, Propylparaben, Polysorbate 60, Mentha Piperita (Peppermint) Oil, Mentha Arvensis Leaf Oil, Menthol, EDTA, Propylene Glycol, Citric Acid, Camellia Sinensis Leaf Extract, Cystine Bis-PG-Propyl Silanetriol, Biotin, Lecithin, Niacinamide, Panthenol, Tocopheryl Acetate, Citrus Paradisi (Grapefruit) Peel Extract, Humulus Lupulus (Hops) Flower Extract, Urtica Dioica (Nettle) Leaf Extract, Acer Saccharum (Sugar Maple) Extract, Citrus Limon (Lemon) Peel Extract, Saccharum Officinarum/Sugar Cane Extract/Extrait de canne à sucre, Vaccinium Myrtillus Leaf Extract, Faex Extract/Yeast Extract/Extrait de levure, Citrus Aurantium Dulcis (Orange) Fruit Extract, Potassium Sorbate, Sodium Benzoate, Blue 1 (CI 42090), Maltodextrin, Ethylparaben, Butylparaben

Treament: 
Aqua, Phenylbenzimidazole Sulfonic Acid, Niacinamide, Benzophenone-4, Caffeine, Polysorbate 20, Sodium Hydroxide, Benzyl Alcohol, Sodium Benzoate, Phenoxyethanol, PEG-12 Dimethicone, Citric Acid, Cocamidopropyl Betaine, Acetamide MEA, Isopropyl C12-15-Pareth-9 Carboxylate, Propylene Glycol, Tetrasodium EDTA, Methyl Nicotinate, Sodium Chloride, Parfum, Polysorbate 60, Polysorbate 80, Mentha Piperita Oil, Mentha Arvensis Leaf Oil, Menthol, PEG-23M, Camellia Sinensis Leaf Extract, Limonene, Cystine Bis-PG-Propyl Silanetriol, Biotin, Lecithin, Tocopheryl Acetate, Citrus Paradisi Peel Extract, Humulus Lupulus Flower Extract, Urtica Dioica Leaf Extract, Silica, Faex Extract, Acer Saccharum Extract, Citrus Limon Peel Extract, Saccharum Officinarum Extract, Vaccinium Myrtillus Leaf Extract, Citrus Aurantium Dulcis Fruit Extract, Potassium Sorbate



...read more
...read less

"
Craft Style Spike,"



		Product details
		



This high-performing, colour safe shampoo gently cleanses hair and scalp without stripping for healthy-looking, tangle-free locks. Hair is left feeling smooth, soft and silky.




How to use

Wet hair thoroughly and massage into a rich lather from root to tip – a little goes a long way. If needed, add more water for more lather. Rinse and repeat if required. Follow with conditioner.


Important info
Liz Earle Beauty Co. is certified under the Cruelty Free International Leaping Bunny Program 


Ingredients
Aqua (water), Lauryl glucoside, Cocamidopropyl betaine, Glycerin, Sodium chloride, Parfum (fragrance), Pyrus malus (apple) fruit extract, Citrus aurantium dulcis (orange) fruit extract, Aloe barbadensis (aloe vera) leaf juice, Shea butter ethyl esters, Sodium benzoate, Inulin, Panthenol, Limonene, Citric acid, Coco-glucoside, Glyceryl oleate, Linalool, Sodium phytate, Phenoxyethanol, Alcohol, Potassium sorbate, Hydrogenated palm glycerides citrate, Tocopherol (vitamin E), Sodium hydroxide. 



...read more
...read less

"
Craft Style Volumise,"



		Product details
		



Pantene Hair Biology Menopause Shampoo For Thinning Hair 250ml 
 
Discover this gentle Menopause shampoo for daily use. It moisturises dry hair and calms the scalp, without weighing down the volume of your hair.  Pantene Pro-V Hair Biology, a tailored blend of nutrients for your hair's biology needs at every age. 
 

Gentle Menopause shampoo for daily use that moisturises dry hair and soothes the scalp
Shampoo for thinnning hair with Pro-V, Vitamin B3 and white tea
Revitalise & Soothe pH balance shampoo for denser, fuller hair
0% colourant and Mineral Oil





How to use
Directions: Apply to wet hair, lather and rinse thoroughly. Follow with Revitalize & Soothe Conditioner.



Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.



Important info
Country of origin: France



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Sodium Chloride, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Glycol Distearate, Citric Acid, Sodium Citrate, Dimethiconol, Parfum, Piroctone Olamine, Dimethicone, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, TEA-Dodecylbenzenesulfonate, Hexyl Cinnamal, Tetrasodium EDTA, Sodium Hydroxide, Trideceth-10, Linalool, Hydroxycitronellal, Geraniol, Panthenol, Panthenyl Ethyl Ether, Citronellol, Propylene Glycol, Magnesium Nitrate, Camellia Sinensis Leaf Extract, Niacinamide, Triethylene Glycol, Benzyl Alcohol, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone




...read more
...read less

"
